id,inscritos,votantes,brancos,nulos,validos,0,1,2,3,4,5,6,7,8,9
050800,"7,628","4,281",59,63,"4,159",30,647,13,26,9,81,307,158,"2,840",48
050900,"14,341","7,969",123,164,"7,682",79,"1,100",26,48,32,221,582,306,"5,179",109
051000,"2,834","1,905",23,51,"1,831",18,191,3,10,2,62,108,45,"1,370",22
051100,"2,974","1,719",20,22,"1,677",12,574,3,56,3,24,177,103,711,14
060100,"10,861","5,615",89,74,"5,452",29,"1,092",15,66,14,179,507,281,"3,206",63
060200,"36,443","16,594",260,108,"16,226",111,"2,728",229,187,38,508,"1,702",550,"9,865",308
060300,"128,653","67,632",933,447,"66,252",602,"17,413",139,"1,923",116,"1,330","10,276","2,729","30,158","1,566"
060400,"14,092","7,367",96,51,"7,220",59,"1,572",12,164,14,167,"1,804",301,"2,972",155
060500,"57,854","26,236",374,233,"25,629",205,"6,251",68,699,59,723,"3,542","1,278","12,177",627
060600,"3,681","1,962",39,24,"1,899",9,424,9,23,1,50,173,126,"1,059",25
060700,"15,243","7,768",163,90,"7,515",45,"1,771",22,94,10,233,"1,148",424,"3,655",113
060800,"13,271","5,829",97,53,"5,679",31,"1,036",28,39,5,251,520,203,"3,473",93
060900,"11,198","5,574",81,54,"5,439",20,"1,235",18,103,8,112,987,281,"2,598",77
061000,"22,490","10,572",152,102,"10,318",69,"2,558",43,268,22,319,"1,652",479,"4,714",194
061100,"18,675","9,261",115,132,"9,014",67,"1,704",33,93,12,256,630,430,"5,730",59
061200,"3,982","1,968",25,16,"1,927",12,367,12,24,5,43,175,92,"1,180",17
061300,"14,492","6,735",88,61,"6,586",34,"1,296",15,125,8,183,699,372,"3,804",50
061400,"5,157","2,601",45,35,"2,521",18,418,9,25,9,104,319,123,"1,467",29
061500,"17,533","8,483",140,85,"8,258",63,"2,197",20,214,29,264,"1,199",519,"3,629",124
061600,"10,525","5,124",73,67,"4,984",33,"1,015",25,93,8,154,430,228,"2,962",36
061700,"6,325","2,850",56,49,"2,745",33,500,6,46,4,97,338,145,"1,535",41
070100,"4,928","2,410",19,20,"2,371",4,819,5,366,11,63,244,119,710,30
