cx,cy,r,party,partyIndex
287.89,141.24,5,PSD,62
336.72,130.24,5,PSD,63
300.87,141.34,5,PSD,64
252.62,154.51,5,CDS,1
313.75,141.43,5,PSD,65
326.57,141.51,5,PSD,66
265.47,154.66,5,CDS,2
339.59,142.92,5,PSD,67
278.22,154.78,5,CDS,3
290.92,154.87,5,PSD,68
303.58,154.94,5,PSD,69
316.2,155,5,PSD,70
328.81,155.06,5,PSD,71
341.47,155.78,5,PSD,72
254.78,168.76,5,CDS,4
267.3,168.75,5,CH,0
279.81,168.75,5,PSD,73
292.32,168.75,5,PSD,74
304.83,168.75,5,PSD,75
317.34,168.75,5,PSD,76
329.85,168.75,5,PSD,77
342.36,168.75,5,PSD,78
